Comment,Hatespeech
Du klounai,No
ne du klounai o du lavonai cia,No
"Cirkas isvaziavo, o klounus paliko 🤷‍♀️",No
Pasaulis pavargo nuo klaunu,No
Kostiumą nusipirk aktoriau,No
Debiloudu susirinkimas,No
Biba i boba dva Dalbajoba,No
Cia tas tipas kur netycia istojo i komunistu partija ir netycia regioninem parke nama pasistate ir netycia nusipirko bilietus i teatra fantomas uz 1660 ar cia kitas asmuo?,No
Laizeka reikėjo dar sumest🤣🤣🤣,No
Tarapunka ir Štepselis,No
Nusibodo jau tas vagių paradas galima ką nors naujo ir protingo,No
"at tik nebus jie Gomesai, Piderikai?",No
o subinėn chacholui ar palaižė ?,Yes
o subinėn chacholui ar palaižė ?,Yes
Du klaunai . Štepselis su tarapunka😄,No
Teslagalvis,No
Apsimizes ir taip jau esi,No
Kiškis drąsuolis ir iš kur toks kiets,No
Tai pats žemiausias žmogos lygis.,No
ir tai gerasirdis Lietuvos prezidentas . Labai panashus i fiureri,No
"Jis gi komunistas, ko jam bijot ruskelų.",No
"Greičiau tas brudas dingtų ! Marionetė , bestuburis .",No
Vyras be kiaušinių jau nieko nebijo???,No
Absolutely idiot. 🤣🤣🤣🤣,No
"Perduok linkėjimus geriau, ATSILUPĖLI , MELSTROY tai 0 , prieš putiną 🤣🤣🤣🙈",No
zuikis drasuolis,No
"Kietai pasakė Lietuvos ,,napaleonas “🤣",No
"Vajetau, koks rimtas berniukas!!!",No
Nes pyderai pabegsit pirmi issigimelei,No
Net zodzio nesugebetu istart pries ji tiesiog apsimystu pries putina 😃,No
Asilo pompa tas musu prezidentas atsibusk biski...,No
Vun nx ji prizintu nepavadinsi jo,No
"Valdžios glušiai visada ras su kuo palyginti prekės kainą, bet niekada nepasakys, o koks atlyginimas toje Australijoje? Nausėduk, gerovės valstybės kūrėjau, sutvarkyk atlyginimus kaip Australijoje, o tada jau čirškėk apie cigarečių pakelio kainą, o tai labai jau kvailai atrodai su tokiais palyginimais.",No
Dar vis galvojau kad Nausėda turi truputi daugiau smegenų bet klydau tikras pasipūtęs besmegenis palygink ir kokias pajamas gauna lietuviai,No
"Kazkada buvo, o gal dar ir yra laida bukas ir bukesnis. Gera laida.",No
"Akcizus, mokesčius ir visas kainas lygina bet algų ne… Bjaurybes nebeplaukit tu smegenų Lietuvos žmonėm ir gyventojam!!! Paskui Stebisi jog zmones varo kontrabanda ir verda savo gėrimus. Tada su dronais nelegaliai visus pasekam šaunam dar baudų ar kalėjimo… Tai daugumai jau dirbt normaliai neapsimoka nes neisimokės skolų iki gyvenimo galo… Tada nusikalteliu ir albinosų gretos didėja o jiems poxhui jiem tai pinigu užtenka gali ne tik rūkyti ir gerti bet ir striptizą prie cigaro užsisakyti.
ŽMONĖS PABUSKIT IR EIKIM BALSUOTI BŪTINAI…. Ir kas priklausomi rūkyti. Kai sutiksit piskit jam iš kojos į galva 😄",No
Kosmonautas pasidare vienok 🫣,No
Visiškas byvis-mauzeris nesiorientuoja visą kadenciją aplinkoje🙉,No
"Lietuvoje ko tik imasi valdžiašudžiai viskas pasirodo kvaila,reformos,liberalizacija,PVM didinimas,mokyklų renovacija o paskui jų uždarymas nes nėra vaikų ir t.t.....",No
byby jus uostykit,No
Debilu debilai,No
Algas australijos palyginkit-debilai🤣🤣🤣🤣,No
"Tai kad tokie kaip nauseda protu nepasizymi,tai eilinis luzaris...🤣",No
Tik ne už Nuosėda 😂,No
"Tu pats parodei kad per durnas būt prezidentu per skystas esi ir priedo neturi savo nuomonės ,tu kaip boba elgiesi ir aplamai aik nahui iš to posto prietranka",No
Tegul nejuokina tas artistas,No
"baisu, svetimos salies veliavu laizytojas.",No
Prasideda tryda!,No
"Užkniso tie farisiejai, kiek jie gali pliurpti, tegul pasižiūri, kas dedasi Lietuvoje, už ką yra persekiojami ir kišami į kalėjimus su teisėjų pagalba nekalti žmonės? Nausėda, ar tu tiek esi aklas, ar tiek kvailas, kad to nematai ir nesupranti?",No
O pas mus tokia pati diktatura,No
Gerai nemyšk ant fazės gali pakratyti ir nereikia loti žurėk savo darža.,No
Klaunas,No
Tu nausėda mažiau rūpinkis svetimu kiemu savo neapš...ki,No
"Bet jis dar kiršina tautas,atminėja pilietybes nekaltiems žmonėms.",No
"Nuo kada tu čia balsą rodai idijote ,aik pasipudruosi snukį",No
Sou berniukas!,No
"vienas silpniausiu prezidentu per visa Lietuvos istorija,",No
Parsidaveliai ir vagys,No
Taip šoka kaip jam įsako komservai,No
Uzsidirbo Nausedu šeima kad bus išlaikomi iki senatves mokesciu moketoju..bet jy prisimins ir kaip silpniausia be charakterio prezidenta...na nieko apsoliuciai nieko nesugebejo padaryt kaip prezidentas..be fb postu nuotraukyciu susitikimu ir pozavimu pries kameras...jai ka padare konkreciai duokit zinot,No
Trys įšdavikai😂,No
Tik jei kas pirmas su visu sukslinu jei kas i lekruva ir kuo toliau saunus prizidentas aukstas grazus,No
"Drasiai duhelis šneka, prasidėtų neramumai pistu i krūmus iš karto, vadovautų nuotoliniu,per tokius nekalti žmonės turėtų žūti",No
Pasake sededamas lektuve i USA😂,No
Prasidetu karas pats pirmas dingtu iš šalies! 🤮🤮🤮🤢🤢🤢,No
Politrukas rėžė iš peties prakalbą,No
"Nu drsuolis !!!Pasiimkit Gabriuką ,Šimonkę ,Armonaitę ,senelį Lanzbergį nuvikit pas Putiną ir jam paaiškinkit ,!!!",No
"Iš kur berniukui tiek drąsos 😲
",No
Pas jį tėvai vatingalviai🤣🤣🤣,No
"Drasuolis atsirado,😄",No
sustru musmeriu matomai uzvalges,No
"Čia dirbtinis intelektas taip pasakė,nekaltinkite jo!!!",No
Bebaimis.Tik koncervatorių bijo.,No
"Jis mano,kad Putinas ji isgirdo?🤣Negi blusines salies valdziazmogiai mano,kad tokia salis,kaip Rusija klausosi ka jie cia tvartelyje kalba?🤣
Ponas Prezidente nuvaziuok i Kremliu pasakyt Putinui,kad jo nebijai,tik nepamirsk pampersu i kelione isidet😉",No
Blusa gąsdina dramblį,No
Pats pirmas shaus i krumus,No
"Temos slydes kaip Smetona tepé,su savo šita ponia kurios išlaikymas Lietuvai kainuoja🖕",No
"Po švenčių gal apsirūkė,bekiaušis stiprus nori būti....",No
Nieko gero jis nepadarė nagi dar yra tokių naivių kurie jį rinks. Tuomet tikrai sukels karą kurio siekia.,No
Galų gale. Sveikinimai narcizui!!,No
"Gana gal jau sito s.....
",No
Prezidentas yra viriauses vadas bėga prezitentas bėga karei,No
Užsilikęs komunistėlis Lietuvoje!,No
Mes tai nepasiduosim. O ar pavyks prezidentui nepasiduotų 8-9 metų berniukams? 😉😁,No
"Taišku, juk jis su gėlėm agresorių sutiks🤦‍♀️",No
"Demokratijos invalidas pirk laiva kelta is globalisto galėsi buti Laivo kapinonu Nauseda 😂😂😂😂😁😎🐻🇱🇹
Londonas Klaipeda tesiogiai
Lanzbergiukas klaipeda Doveris tesiogiai ir t.t.😂😂😂😂😂😂😁😁😁😎🐻🇱🇹",No
Idijotas blet,No
Ot kur lopas🤦,No
Ka jus darot suskiai?,No
"Kaip naudinga pakištukui Prezidentui kritikuoti Vyriausybę, ypač prieš rinkimus.",No
Sėdmaišis ppulistas bando kelt savo reitingus,No
karaliukas sparnus auginasi,No
"Žmonių išrinktas eiti prezidento pareigas subjektas po pirmos kadencijos jau tapo diktatoriumi, kuriam niekas negali nurodinėti. Tai kas bus į antros kadencijos pabaigą.",No
"mano nuomone, mire drakonas, gime naujas drakonas, zmogus padyrbes del savo interesu daug ko ismoko, o antra kadencija bus visai patyres savo interesams!!!!!",No
MELAGIS,No
Neatlaike pries zmonos nora parodyt savo nauja suknele Londono elitui.,No
